part_number,rev,description,category,make_buy,uom,unit_mass_kg,mass_basis,maturity,design_level,lifecycle,spec_ref,requirement,notes
GEM-21704,A,"Absolute encoder, motor side, neck pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21705,A,"Absolute encoder, output side, neck pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-21706,A,"Joint torque sensor, neck pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-21707,A,"Joint drive PCBA, neck pitch",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-21708,A,"Housing, 7075-T6, neck pitch",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-21709,A,"Fastener set, neck pitch",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-10000,A,"GEMs body, reference design A (4 h, 65% armour coverage)",ASSY,MAKE,EA,,,TM,L1,CONCEPT,spec 02.5; protocol/conformance-record.md,129.5 kg derived body mass,
GEM-11000,A,Head assembly,ASSY,MAKE,EA,,,TM,L1,CONCEPT,plan M-9,,
GEM-11010,A,Head structure,MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-11020,A,"Camera module, 4K 30 fps 12 bit",OTS,BUY,EA,,,TM,L1,CONCEPT,spec 05.3,"stereo pair; optical zoom, multispectral",
GEM-11030,A,"Thermal IR camera, 640x480 30 fps 16 bit",OTS,BUY,EA,,,TM,L1,CONCEPT,spec 05.3,,
GEM-11040,A,"LiDAR / depth sensor, 300k points/s",OTS,BUY,EA,,,TM,L1,CONCEPT,spec 05.3,,
GEM-11050,A,"Microphone, array element",OTS,BUY,EA,,,TM,L1,CONCEPT,spec 05.3,"16 ch, 48 kHz, 24 bit",
GEM-11060,A,Electronic nose,OTS,BUY,EA,,,TM,L1,CONCEPT,spec 05.3,"5-30 ppb per compound, 5-10 s",
GEM-11070,A,"Taste analyser, lab-on-chip",MFG,MAKE,EA,,,LAB,L1,CONCEPT,spec 05.3,batch-wise,
GEM-11080,A,Speaker and ultrasonic emitter,OTS,BUY,EA,,,TM,L1,CONCEPT,spec 05.3,,
GEM-11090,A,Micro facial and pupil actuator set,MFG,MAKE,SET,,,LAB,L1,CONCEPT,spec 05.3; kinematics 1.4,,
GEM-11100,A,Head sensor hub PCBA,PCBA,MAKE,EA,,,TM,L0,CONCEPT,plan E-6,,PCBA BOM from schematic; none exists yet
GEM-12000,A,Neck assembly,ASSY,MAKE,EA,,,TM,L1,CONCEPT,hardware/kinematics.md 1,,
GEM-13000,A,Torso assembly,ASSY,MAKE,EA,,,TM,L1,CONCEPT,plan M-2,,
GEM-13010,A,Pelvis structure,MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-13020,A,Torso structure,MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-13030,A,"IMU, torso",OTS,BUY,EA,,,TM,L1,CONCEPT,spec 05.3,1 kHz,
GEM-13100,A,Power assembly,ASSY,MAKE,EA,,,TM,L1,CONCEPT,plan E-2,,
GEM-13110,A,Cell stack,ASSY,MAKE,EA,23.0,cells only: 10.36 kWh at 450 Wh/kg (gems_budget),TM,L2,CONCEPT,spec 03.1; hardware/electrical 3,400-500 Wh/kg,
GEM-13111,A,"Cell, durable tier",OTS,BUY,EA,,,TM,L2,CONCEPT,spec 03.1; hardware/electrical 3,400-500 Wh/kg,D-5 open
GEM-13120,A,Battery management PCBA,PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-2,"monitoring, balancing, protection",
GEM-13130,A,Pack enclosure,MFG,MAKE,EA,,,TM,L1,CONCEPT,plan M-2,,
GEM-13140,A,Supercapacitor bank,OTS,BUY,EA,,,TM,L1,CONCEPT,spec 03.2 measure 3,burst power,
GEM-13150,A,"Pre-charge, contactor and fuse set",OTS,BUY,SET,,,TM,L1,CONCEPT,plan E-2,bus voltage D-4,
GEM-13160,A,Power distribution and DC-DC PCBA,PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-4,HV to logic rails,
GEM-13170,A,Vigilance rail PCBA,PCBA,MAKE,EA,,,TM,L1,CONCEPT,spec 03.6,tens of microwatts,
GEM-13200,A,Compute assembly,ASSY,MAKE,EA,,,TM,L1,CONCEPT,plan E-5,,
GEM-13210,A,Edge AI module,OTS,BUY,EA,,,TM,L2,CONCEPT,hardware/electrical 4,"40-130 W, 128 GB",
GEM-13220,A,Edge module carrier PCBA,PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-5,,
GEM-13230,A,"Real-time controller PCBA, EtherCAT master",PCBA,MAKE,EA,,,TM,L0,CONCEPT,spec 07.2; firmware/README,"balance 500 Hz, reflex 10 ms",D-3 open: processor not chosen; not the edge module
GEM-13240,A,"Emission log storage, 2 TB",OTS,BUY,EA,,,TM,L1,CONCEPT,spec 07.6,~1700 h full tier,
GEM-13250,A,"SDR front-end, 2 ch x 56 MHz",OTS,BUY,EA,,,TM,L1,CONCEPT,spec 05.3,16 bit I/Q,
GEM-13300,A,Communications assembly,ASSY,MAKE,EA,,,TM,L1,CONCEPT,spec 01 Link,,
GEM-13310,A,"mmWave uplink radio, 60 GHz",OTS,BUY,EA,,,TM,L1,CONCEPT,spec 01 Link,"~8 Gbps, ~1 ms PHY",
GEM-13320,A,"Fallback link module, LEO / cellular",OTS,BUY,EA,,,TM,L1,CONCEPT,spec 01 Link,,
GEM-13330,A,Low-power trace radio,OTS,BUY,EA,,,TM,L0,CONCEPT,spec 06.5,floor power,D-7 open
GEM-13340,A,Spatial RF sensing front-end,OTS,BUY,EA,,,TM,L1,CONCEPT,spec 05.3,Wi-Fi / mmWave CSI,
GEM-13350,A,Secure element,OTS,BUY,EA,,,TM,L0,CONCEPT,spec 06.2; spec 06.3,,D-7 open
GEM-13400,A,Cardiac co-regulation module,OTS,BUY,EA,,,TM,L1,CONCEPT,spec 05.3,"vibration, warmth, rhythm; optional",
GEM-14000,A,"Arm assembly, left",ASSY,MAKE,EA,,,TM,L1,CONCEPT,hardware/kinematics.md 1,,
GEM-14010,A,"Upper arm structure, left",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-14020,A,"Forearm structure, left",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-14900,A,"Hand assembly, left, 5 DOF",ASSY,MAKE,EA,,,TM,L1,CONCEPT,hardware/kinematics.md 1.2,,"minimum configuration, D-6"
GEM-14910,A,"Hand structure, left",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-14920,A,"Finger actuator, left",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/kinematics.md 1.2,,torque not derived
GEM-16000,A,"Leg assembly, left",ASSY,MAKE,EA,,,TM,L1,CONCEPT,hardware/kinematics.md 1,,
GEM-16010,A,"Thigh structure, left",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-16020,A,"Shank structure, left",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-16030,A,"Foot structure, left",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-16040,A,"Foot contact sensing, left",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 06.6; plan F-4,,
GEM-15000,A,"Arm assembly, right",ASSY,MAKE,EA,,,TM,L1,CONCEPT,hardware/kinematics.md 1,,
GEM-15010,A,"Upper arm structure, right",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-15020,A,"Forearm structure, right",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-15900,A,"Hand assembly, right, 5 DOF",ASSY,MAKE,EA,,,TM,L1,CONCEPT,hardware/kinematics.md 1.2,,"minimum configuration, D-6"
GEM-15910,A,"Hand structure, right",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-15920,A,"Finger actuator, right",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/kinematics.md 1.2,,torque not derived
GEM-17000,A,"Leg assembly, right",ASSY,MAKE,EA,,,TM,L1,CONCEPT,hardware/kinematics.md 1,,
GEM-17010,A,"Thigh structure, right",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-17020,A,"Shank structure, right",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-17030,A,"Foot structure, right",MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-17040,A,"Foot contact sensing, right",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 06.6; plan F-4,,
GEM-18000,A,Shell and protection assembly,ASSY,MAKE,EA,,,TM,L1,CONCEPT,spec 04.5; spec 02.4,,
GEM-18010,A,"Armour panel, integrated multi-threat",MATL,BUY,M2,7.5,"per m2, mid-band of 6-9 kg/m2",TM,L2,CONCEPT,spec 02.4; hardware/mechanical 3,NIJ IIIA + NIJ 0115 level 1,
GEM-18020,A,"Sense-and-heal layer, e-skin and self-healing polymer",MATL,MAKE,M2,,,LAB,L2,CONCEPT,spec 04.5,600% stretch,
GEM-18030,A,"Variable-stiffness layer, MR / ER / jamming",MATL,MAKE,M2,,,LAB,L2,CONCEPT,spec 04.1,"2-30x modulus, ms",
GEM-18040,A,"Fire layer, sacrificial",MATL,BUY,M2,,,TM,L2,CONCEPT,spec 04.4,standard to be anchored,
GEM-18050,A,Electrochromic colour layer,MATL,MAKE,M2,,,LAB,L2,CONCEPT,spec 04.3,~1-5 s,
GEM-18060,A,"Tactile taxel, fine region (hands, face)",MFG,MAKE,EA,,,LAB,L1,CONCEPT,spec 05.2,~300/cm2,
GEM-18070,A,"Tactile taxel, ordinary region",MFG,MAKE,EA,,,LAB,L1,CONCEPT,spec 05.2,~20/cm2,
GEM-18080,A,Tactile readout PCBA,PCBA,MAKE,EA,,,LAB,L0,CONCEPT,plan E-7,,PCBA BOM from schematic; none exists yet
GEM-18090,A,Shell field driver PCBA (MR coils / ER HV / electrochromic),PCBA,MAKE,EA,,,LAB,L0,CONCEPT,plan E-10,,
GEM-19000,A,Harness assembly,ASSY,MAKE,EA,,,TM,L0,CONCEPT,plan E-12,,
GEM-19010,A,EtherCAT joint chain cable set,CABLE,MAKE,SET,,,TM,L0,CONCEPT,hardware/electrical 5,,
GEM-19020,A,CAN FD sensing bus cable set,CABLE,MAKE,SET,,,TM,L0,CONCEPT,hardware/electrical 5,,
GEM-19030,A,HV power distribution cable set,CABLE,MAKE,SET,,,TM,L0,CONCEPT,hardware/electrical 5,,
GEM-19040,A,"Sensor link cable set (camera, LiDAR, audio)",CABLE,MAKE,SET,,,TM,L0,CONCEPT,hardware/electrical 5,,
GEM-30000,A,"Dock, seat form, with charging contacts",ASSY,MAKE,EA,,,TM,L1,CONCEPT,spec 03.5,,Ground equipment; not part of the body
GEM-30010,A,Dock structure,MFG,MAKE,EA,,,TM,L2,CONCEPT,hardware/mechanical 1,"CFRP long members, 7075-T6 at joints",Section sizing IMPL; structure allowance 38.8 kg in total
GEM-30020,A,Charging contact set,OTS,BUY,SET,,,TM,L1,CONCEPT,spec 03.5,,
GEM-30030,A,Dock charger PCBA,PCBA,MAKE,EA,,,TM,L0,CONCEPT,plan E-2,,PCBA BOM from schematic; none exists yet
GEM-10099,A,"Fastener set, gems body",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-11099,A,"Fastener set, head assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-12099,A,"Fastener set, neck assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-13099,A,"Fastener set, torso assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-13199,A,"Fastener set, power assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-13299,A,"Fastener set, compute assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-13399,A,"Fastener set, communications assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-14099,A,"Fastener set, arm assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-14999,A,"Fastener set, hand assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-16099,A,"Fastener set, leg assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-15099,A,"Fastener set, arm assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-15999,A,"Fastener set, hand assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-17099,A,"Fastener set, leg assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-18099,A,"Fastener set, shell and protection assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-19099,A,"Fastener set, harness assembly",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
GEM-30099,A,"Fastener set, dock",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-5,,"Contents from the CAD (plan M-1, M-5)"
