assembly,op_no,work_center,operation,consumes,qty,uom,qty_basis,notes
GEM-20900,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-20900,130,WC-CAL,"Commutation offset and encoder calibration, shoulder pitch",,,,,
GEM-20900,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-20900,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-20907,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-20907,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-20907,30,WC-CAL,Board-level functional test,,,,,
GEM-21000,10,WC-JNT,Prepare housing,GEM-21008,1,EA,,
GEM-21000,20,WC-JNT,Press in output bearing,GEM-21003,1,EA,,
GEM-21000,30,WC-JNT,Install motor stator and rotor,GEM-21001,1,EA,,
GEM-21000,40,WC-JNT,Install reducer; grease per work instruction,GEM-21002,1,EA,,
GEM-21000,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-21000,60,WC-JNT,Install motor-side encoder,GEM-21004,1,EA,,
GEM-21000,70,WC-JNT,Install output-side encoder,GEM-21005,1,EA,,
GEM-21000,80,WC-JNT,Install joint torque sensor,GEM-21006,1,EA,,
GEM-21000,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-21007,1,EA,,
GEM-21000,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-21000,110,WC-JNT,Fasten and torque to drawing,GEM-21009,1,SET,,
GEM-21000,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-21000,130,WC-CAL,"Commutation offset and encoder calibration, shoulder roll",,,,,
GEM-21000,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-21000,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-21007,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-21007,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-21007,30,WC-CAL,Board-level functional test,,,,,
GEM-21100,10,WC-JNT,Prepare housing,GEM-21108,1,EA,,
GEM-21100,20,WC-JNT,Press in output bearing,GEM-21103,1,EA,,
GEM-21100,30,WC-JNT,Install motor stator and rotor,GEM-21101,1,EA,,
GEM-21100,40,WC-JNT,Install reducer; grease per work instruction,GEM-21102,1,EA,,
GEM-21100,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-21100,60,WC-JNT,Install motor-side encoder,GEM-21104,1,EA,,
GEM-21100,70,WC-JNT,Install output-side encoder,GEM-21105,1,EA,,
GEM-21100,80,WC-JNT,Install joint torque sensor,GEM-21106,1,EA,,
GEM-21100,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-21107,1,EA,,
GEM-21100,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-21100,110,WC-JNT,Fasten and torque to drawing,GEM-21109,1,SET,,
GEM-21100,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-21100,130,WC-CAL,"Commutation offset and encoder calibration, shoulder yaw",,,,,
GEM-21100,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-21100,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-21107,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-21107,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-21107,30,WC-CAL,Board-level functional test,,,,,
GEM-21200,10,WC-JNT,Prepare housing,GEM-21208,1,EA,,
GEM-21200,20,WC-JNT,Press in output bearing,GEM-21203,1,EA,,
GEM-21200,30,WC-JNT,Install motor stator and rotor,GEM-21201,1,EA,,
GEM-21200,40,WC-JNT,Install reducer; grease per work instruction,GEM-21202,1,EA,,
GEM-21200,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-21200,60,WC-JNT,Install motor-side encoder,GEM-21204,1,EA,,
GEM-21200,70,WC-JNT,Install output-side encoder,GEM-21205,1,EA,,
GEM-21200,80,WC-JNT,Install joint torque sensor,GEM-21206,1,EA,,
GEM-21200,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-21207,1,EA,,
GEM-21200,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-21200,110,WC-JNT,Fasten and torque to drawing,GEM-21209,1,SET,,
GEM-21200,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-21200,130,WC-CAL,"Commutation offset and encoder calibration, elbow",,,,,
GEM-21200,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-21200,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-21207,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-21207,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-21207,30,WC-CAL,Board-level functional test,,,,,
GEM-21300,10,WC-JNT,Prepare housing,GEM-21308,1,EA,,
GEM-21300,20,WC-JNT,Press in output bearing,GEM-21303,1,EA,,
GEM-21300,30,WC-JNT,Install motor stator and rotor,GEM-21301,1,EA,,
GEM-21300,40,WC-JNT,Install reducer; grease per work instruction,GEM-21302,1,EA,,
GEM-21300,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-21300,60,WC-JNT,Install motor-side encoder,GEM-21304,1,EA,,
GEM-21300,70,WC-JNT,Install output-side encoder,GEM-21305,1,EA,,
GEM-21300,80,WC-JNT,Install joint torque sensor,GEM-21306,1,EA,,
GEM-21300,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-21307,1,EA,,
GEM-21300,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-21300,110,WC-JNT,Fasten and torque to drawing,GEM-21309,1,SET,,
GEM-21300,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-21300,130,WC-CAL,"Commutation offset and encoder calibration, wrist yaw",,,,,
GEM-21300,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-21300,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-21307,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-21307,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-21307,30,WC-CAL,Board-level functional test,,,,,
GEM-21400,10,WC-JNT,Prepare housing,GEM-21408,1,EA,,
GEM-21400,20,WC-JNT,Press in output bearing,GEM-21403,1,EA,,
GEM-21400,30,WC-JNT,Install motor stator and rotor,GEM-21401,1,EA,,
GEM-21400,40,WC-JNT,Install reducer; grease per work instruction,GEM-21402,1,EA,,
GEM-21400,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-21400,60,WC-JNT,Install motor-side encoder,GEM-21404,1,EA,,
GEM-21400,70,WC-JNT,Install output-side encoder,GEM-21405,1,EA,,
GEM-21400,80,WC-JNT,Install joint torque sensor,GEM-21406,1,EA,,
GEM-21400,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-21407,1,EA,,
GEM-21400,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-21400,110,WC-JNT,Fasten and torque to drawing,GEM-21409,1,SET,,
GEM-21400,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-21400,130,WC-CAL,"Commutation offset and encoder calibration, wrist pitch",,,,,
GEM-21400,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-21400,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-21407,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-21407,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-21407,30,WC-CAL,Board-level functional test,,,,,
GEM-21500,10,WC-JNT,Prepare housing,GEM-21508,1,EA,,
GEM-21500,20,WC-JNT,Press in output bearing,GEM-21503,1,EA,,
GEM-21500,30,WC-JNT,Install motor stator and rotor,GEM-21501,1,EA,,
GEM-21500,40,WC-JNT,Install reducer; grease per work instruction,GEM-21502,1,EA,,
GEM-21500,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-21500,60,WC-JNT,Install motor-side encoder,GEM-21504,1,EA,,
GEM-21500,70,WC-JNT,Install output-side encoder,GEM-21505,1,EA,,
GEM-21500,80,WC-JNT,Install joint torque sensor,GEM-21506,1,EA,,
GEM-21500,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-21507,1,EA,,
GEM-21500,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-21500,110,WC-JNT,Fasten and torque to drawing,GEM-21509,1,SET,,
GEM-21500,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-21500,130,WC-CAL,"Commutation offset and encoder calibration, wrist roll",,,,,
GEM-21500,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-21500,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-21507,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-21507,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-21507,30,WC-CAL,Board-level functional test,,,,,
GEM-21600,10,WC-JNT,Prepare housing,GEM-21608,1,EA,,
GEM-21600,20,WC-JNT,Press in output bearing,GEM-21603,1,EA,,
GEM-21600,30,WC-JNT,Install motor stator and rotor,GEM-21601,1,EA,,
GEM-21600,40,WC-JNT,Install reducer; grease per work instruction,GEM-21602,1,EA,,
GEM-21600,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-21600,60,WC-JNT,Install motor-side encoder,GEM-21604,1,EA,,
GEM-21600,70,WC-JNT,Install output-side encoder,GEM-21605,1,EA,,
GEM-21600,80,WC-JNT,Install joint torque sensor,GEM-21606,1,EA,,
GEM-21600,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-21607,1,EA,,
GEM-21600,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-21600,110,WC-JNT,Fasten and torque to drawing,GEM-21609,1,SET,,
GEM-21600,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-21600,130,WC-CAL,"Commutation offset and encoder calibration, neck yaw",,,,,
GEM-21600,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-21600,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-21607,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-21607,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-21607,30,WC-CAL,Board-level functional test,,,,,
GEM-21700,10,WC-JNT,Prepare housing,GEM-21708,1,EA,,
GEM-21700,20,WC-JNT,Press in output bearing,GEM-21703,1,EA,,
GEM-21700,30,WC-JNT,Install motor stator and rotor,GEM-21701,1,EA,,
GEM-21700,40,WC-JNT,Install reducer; grease per work instruction,GEM-21702,1,EA,,
GEM-21700,50,WC-JNT,(consumable) Reducer grease,GEM-50020,,G,as consumed; figure set by the work instruction,
GEM-21700,60,WC-JNT,Install motor-side encoder,GEM-21704,1,EA,,
GEM-21700,70,WC-JNT,Install output-side encoder,GEM-21705,1,EA,,
GEM-21700,80,WC-JNT,Install joint torque sensor,GEM-21706,1,EA,,
GEM-21700,90,WC-JNT,Mount drive PCBA; thermal interface to housing,GEM-21707,1,EA,,
GEM-21700,100,WC-JNT,(consumable) Thermal interface material,GEM-50030,,G,as consumed; figure set by the work instruction,
GEM-21700,110,WC-JNT,Fasten and torque to drawing,GEM-21709,1,SET,,
GEM-21700,120,WC-JNT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-21700,130,WC-CAL,"Commutation offset and encoder calibration, neck pitch",,,,,
GEM-21700,140,WC-CAL,Joint torque sensor calibration,,,,,
GEM-21700,150,WC-CAL,"End-of-line test: peak torque, backdrive, thermal",,,,,
GEM-21707,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-21707,20,WC-PROG,"Program firmware image, joint drive",GEM-40010,1,EA,,
GEM-21707,30,WC-CAL,Board-level functional test,,,,,
GEM-30000,10,WC-SUB,Install dock structure,GEM-30010,1,EA,,
GEM-30000,20,WC-SUB,Install charging contact set,GEM-30020,1,SET,,
GEM-30000,30,WC-SUB,Install dock charger PCBA,GEM-30030,1,EA,,
GEM-30000,40,WC-SUB,Fasten and torque to drawing,GEM-30099,1,SET,,
GEM-30000,50,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-10000,160,WC-PACK,Pack for shipment,GEM-50060,1,SET,,
GEM-30000,60,WC-PACK,Pack for shipment,GEM-50060,1,SET,,
